,Title,Address,Bedroom,Bathroom,Price
0,Townhouse for Rent,"4313 4th Ct N, Arlington, VA 22203",4,4.5,5200 per month
1,House for Rent,"2026 S Monroe St, Arlington, VA 22204",4,3.5,3900 per month
2,House for Rent,"1941 N Vermont St, Arlington, VA 22207",3,2.0,3600 per month
3,Townhouse for Rent,"748 S Granada St, Arlington, VA 22204",4,5.0,3720 per month
4,Townhouse for Rent,"4173 S Four Mile Run Dr Unit B, Arlington, VA 22204",3,2.5,3200 per month
5,House for Rent,"1010 19th St S, Arlington, VA 22202",5,3.0,4950 per month
6,Townhouse for Rent,"402 N Thomas St, Arlington, VA 22203",3,2.5,4250 per month
7,House for Rent,"2431 N Nottingham St, Arlington, VA 22207",3,2.5,4200 per month
8,Townhouse for Rent,"2029 S Glebe Rd, Arlington, VA 22204",3,2.0,3399 per month
9,Townhouse for Rent,"2312 N Van Buren Ct, Arlington, VA 22205",3,3.5,4500 per month
10,House for Rent,"2614 2nd St S, Arlington, VA 22204",4,2.0,3800 per month
11,Townhouse for Rent,"3112 S Fox St, Arlington, VA 22202",3,2.0,3300 per month
12,House for Rent,"4110 Cherry Hill Rd, Arlington, VA 22207",4,4.5,7000 per month
13,House for Rent,"2542 N Vermont St, Arlington, VA 22207",4,3.0,5500 per month
14,Townhouse for Rent,"1524 16th Ct N, Arlington, VA 22209",3,3.5,6900 per month
15,House for Rent,"4906 16th St N, Arlington, VA 22205",5,4.5,9000 per month
16,Townhouse for Rent,"3651 S Four Mile Run Dr, Arlington, VA 22206",2,1.5,2650 per month
17,House for Rent,"2205 S Grant St, Arlington, VA 22202",3,2.0,4150 per month
18,House for Rent,"6825 Williamsburg Blvd, Arlington, VA 22213",6,4.5,6700 per month
19,Townhouse for Rent,"2334 S Rolfe St, Arlington, VA 22202",3,3.5,4200 per month
20,Townhouse for Rent,"625 N Oakland St, Arlington, VA 22203",4,2.0,4600 per month
21,House for Rent,"5619 6th St N Unit LOWER UNIT, Arlington, VA 22205",2,Na,1725 per month
22,House for Rent,"3409 N Abingdon St, Arlington, VA 22207",4,4.0,5800 per month
23,House for Rent,"1006 S Columbus St, Arlington, VA 22204",2,Na,2700 per month
24,House for Rent,"1301 S Rolfe St, Arlington, VA 22204",4,2.0,5250 per month
25,Townhouse for Rent,"4120 41st St N Unit 1, Arlington, VA 22207",2,2.0,5700 per month
26,Townhouse for Rent,"2404 13th Ct N, Arlington, VA 22201",3,3.5,4995 per month
27,House for Rent,"2507 N Florida St, Arlington, VA 22207",2,2.0,3395 per month
28,Townhouse for Rent,"2422 14th St N, Arlington, VA 22201",3,3.5,4900 per month
29,House for Rent,"5618 7th St N, Arlington, VA 22205",2,2.0,2800 per month
30,House for Rent,"2205 N Edison St, Arlington, VA 22207",5,4.5,5975 per month
31,Townhouse for Rent,"3316 Kemper Rd, Arlington, VA 22206",3,3.5,4100 per month
32,House for Rent,"5650 4th St N, Arlington, VA 22205",4,2.0,3200 per month
33,Townhouse for Rent,"2873 S Buchanan St Unit A2, Arlington, VA 22206",2,2.0,2275 per month
34,Townhouse for Rent,"2528 N Winchester St, Arlington, VA 22213",2,1.5,2825 per month
35,Townhouse for Rent,"1905 S Glebe Rd, Arlington, VA 22204",8,5.0,5095 per month
36,House for Rent,"1028 S Edison St, Arlington, VA 22204",2,Na,3400 per month
37,Townhouse for Rent,"306 S Wayne St Unit A, Arlington, VA 22204",2,2.5,2800 per month
38,Townhouse for Rent,"606 15th St S Unit 1, Arlington, VA 22202",3,2.5,3295 per month
39,Townhouse for Rent,"766 N Vermont St Unit 1, Arlington, VA 22203",2,2.0,3200 per month
40,House for Rent,"2219 N Nottingham St, Arlington, VA 22205",4,2.0,4100 per month
41,House for Rent,"2400 S Arlington Ridge Rd, Arlington, VA 22202",4,6.0,6500 per month
42,Townhouse for Rent,"2270 S Garfield St Unit 4, Arlington, VA 22206",4,4.5,3650 per month
43,Townhouse for Rent,"2204 S Nelson St, Arlington, VA 22206",3,1.5,3100 per month
44,Townhouse for Rent,"5617 7th Place S, Arlington, VA 22204",2,1.5,2200 per month
45,House for Rent,"5604 4th St S, Arlington, VA 22204",5,5.0,6750 per month
46,House for Rent,"5805 26th St N Unit 1, Arlington, VA 22207",3,2.0,3499 per month
47,Townhouse for Rent,"4836 28th St S, Arlington, VA 22206",2,2.0,2695 per month
48,Townhouse for Rent,"3080 S Glebe Rd, Arlington, VA 22206",3,3.5,3650 per month
49,House for Rent,"4767 1st St N, Arlington, VA 22203",3,2.0,3200 per month
50,House for Rent,"3020 Military Rd, Arlington, VA 22207",3,3.0,4100 per month
51,House for Rent,"4817 14th St S, Arlington, VA 22204",4,3.0,3350 per month
52,House for Rent,"637 24th St S, Arlington, VA 22202",2,Na,3000 per month
53,Townhouse for Rent,"1421 N Nash St, Arlington, VA 22209",3,6.0,12000 per month
54,House for Rent,"3706 16th St S, Arlington, VA 22204",5,3.0,3895 per month
55,House for Rent,"1151 S Edison St, Arlington, VA 22204",3,2.0,5000 per month
56,Townhouse for Rent,"3445 S Stafford St Unit A, Arlington, VA 22206",2,2.0,2950 per month
57,House for Rent,"928 19th St S, Arlington, VA 22202",3,2.0,3300 per month
58,House for Rent,"1127 N Stuart St Unit 4, Arlington, VA 22201",2,3.0,3200 per month
59,Townhouse for Rent,"2510 D S Arlington Mill Dr Unit 4, Arlington, VA 22206",2,2.5,3400 per month
60,House for Rent,"5128 28th St N, Arlington, VA 22207",5,3.5,5800 per month
61,Townhouse for Rent,"74 N Bedford St Unit 74B, Arlington, VA 22201",2,2.0,2600 per month
62,House for Rent,"5 S Garfield St, Arlington, VA 22204",4,3.5,4900 per month
63,House for Rent,"6321 Washington Blvd, Arlington, VA 22205",4,3.5,5200 per month
64,Townhouse for Rent,"4607 28th Rd S Unit C, Arlington, VA 22206",3,2.0,3200 per month
65,House for Rent,"4145 6th St S, Arlington, VA 22204",4,2.0,4300 per month
66,Townhouse for Rent,"1149 N Taylor St, Arlington, VA 22201",4,5.0,5000 per month
67,Townhouse for Rent,"3095 S Abingdon St, Arlington, VA 22206",2,2.0,2750 per month
68,Townhouse for Rent,"845 S Irving St, Arlington, VA 22204",2,2.0,2800 per month
69,Townhouse for Rent,"1601 N Colonial Terrace, Arlington, VA 22209",2,Na,2850 per month
70,House for Rent,"929 19th St S, Arlington, VA 22202",3,2.0,3300 per month
71,House for Rent,"1611 N Highland St, Arlington, VA 22201",4,4.5,5500 per month
72,House for Rent,"1600 13th St S, Arlington, VA 22204",4,3.0,3800 per month
73,Townhouse for Rent,"3713 Kemper Rd, Arlington, VA 22206",2,Na,2300 per month
74,House for Rent,"1101 17th St S, Arlington, VA 22202",3,2.0,1050 per month
75,Townhouse for Rent,"2422 S Oakland St, Arlington, VA 22206",2,2.0,2900 per month
76,House for Rent,"3405 N Peary St, Arlington, VA 22207",4,3.0,4500 per month
77,House for Rent,"822 S Arlington Mill Dr Unit 2203, Arlington, VA 22204",2,Na,1800 per month
78,House for Rent,"2622 Washington Blvd, Arlington, VA 22201",3,1.5,4200 per month
79,Townhouse for Rent,"3455 S Stafford St, Arlington, VA 22206",2,2.0,2990 per month
80,Townhouse for Rent,"2945 S Columbus St, Arlington, VA 22206",2,2.0,2800 per month
81,Townhouse for Rent,"4848 28th St S Unit B, Arlington, VA 22206",2,2.0,2800 per month
82,Townhouse for Rent,"3507 S Wakefield St, Arlington, VA 22206",2,2.0,3000 per month
83,House for Rent,"3420 N Glebe Rd, Arlington, VA 22207",4,3.0,4800 per month
84,Townhouse for Rent,"27 N Trenton St, Arlington, VA 22203",4,3.5,5000 per month
85,Townhouse for Rent,"750 S Harrison St, Arlington, VA 22204",2,2.0,2800 per month
