,Posted,Location,Post Title,Bedrooms,Sqft,Distance,Price,Clean_location
0,2021-07-17," fairfax county, annandale",Fenced yard-all utilities included-large 1 bedroom apartment,1.0,1000.0,0.0,1290,Fairfax
2,2021-07-14," Annadale, VA",5B3BA Fully Remodeled Single Family House for Rent,5.0,2500.0,1.1,3600,Annandale
4,2021-07-17, North Springfield,"*Beautiful Home, Spacious + Bright 3 Bedroom 2.5 Bath w/ Yard *",3.0,2500.0,1.9,3100,Springfield
5,2021-07-12, Fairfax,"Guest Suite, Designer Fixtures, Contemporary Finishes",2.0,1216.0,2.3,2015,Fairfax
6,2021-07-14, Fairfax,"Pets Welcome, Lease Today, Perfect Location",2.0,1216.0,2.3,1965,Fairfax
7,2021-07-14, Fairfax,"Party Room, Contemporary Finishes, Comfort and Convenience",3.0,1523.0,2.3,2285,Fairfax
8,2021-07-15, Fairfax,"Swimming Pool, Designer Fixtures, Modern Fixtures",2.0,1216.0,2.3,2015,Fairfax
9,2021-07-17, Fairfax,"Patios Available, Contemporary Finishes, Leasing Now",3.0,1523.0,2.3,2285,Fairfax
10,2021-07-18, Fairfax,"Swimming Pool, Lease Today, Call for Details",2.0,1216.0,2.3,1965,Fairfax
12,2021-07-17, Fairfax,3 level brick TH for rent near Vienna  Metro,3.0,2448.0,3.4,2595,Fairfax
13,2021-07-16, Burke Station Square,3-Level 3BR / 2.5BA Brick Townhouse in Burke Station Square Near VRE!,3.0,2160.0,3.5,2500,Burke
18,2021-07-16, 6312 Mayapple Place,Alexandria/Lincolnia,2.0,1536.0,3.8,2425,Alexandria
21,2021-07-15, West Springfield,Immaculate 3 bedroom/2 full + 2 half bathroom townhouse - Now Availabl,3.0,2000.0,3.9,2800,Springfield
22,2021-07-15, Springfield VA,For Rent: Single Family Home (4 bd/2 Fullbath/1900sqft),4.0,1900.0,3.9,2600,Springfield
