,Title,Address,Bedroom,Bathroom,Price
0,Townhouse for Rent,"747 Kentucky Ave SE, Washington, DC 20003",3,2.0,3400 per month
1,Townhouse for Rent,"5120 Brooks St NE, Washington, DC 20019",3,2.0,2650 per month
2,Townhouse for Rent,"910 New Hampshire Ave NW, Washington, DC 20037",4,3.0,7500 per month
3,Townhouse for Rent,"1224 Irving St NW Unit A, Washington, DC 20010",5,3.0,5975 per month
4,House for Rent,"1112 51st Place NE, Washington, DC 20019",4,3.0,3300 per month
5,Townhouse for Rent,"438 New Jersey Ave SE, Washington, DC 20003",6,4.5,11000 per month
6,Townhouse for Rent,"1818 Corcoran St NE, Washington, DC 20002",2,Na,2100 per month
7,House for Rent,"3906 24th St NE, Washington, DC 20018",3,2.5,3500 per month
8,Townhouse for Rent,"118 17th St SE, Washington, DC 20003",3,3.5,5000 per month
9,Townhouse for Rent,"1326 Otis Place NW, Washington, DC 20010",3,2.5,4500 per month
10,Townhouse for Rent,"715 Kenyon St NW Unit 6, Washington, DC 20010",3,2.0,3150 per month
11,Townhouse for Rent,"1407 Ridgeview Way NW, Washington, DC 20007",3,4.5,9889 per month
12,House for Rent,"3426 Prospect St NW, Washington, DC 20007",3,2.0,7500 per month
13,Townhouse for Rent,"1228 C St SE, Washington, DC 20003",3,2.5,5400 per month
14,Townhouse for Rent,"1211 Rhode Island Ave NW Unit 2, Washington, DC 20005",3,3.5,5300 per month
15,Townhouse for Rent,"1265 16th St NE, Washington, DC 20002",3,2.0,2950 per month
16,House for Rent,"1417 44th St NW, Washington, DC 20007",3,3.0,5500 per month
17,Townhouse for Rent,"1806 I St NE Unit 10, Washington, DC 20002",2,Na,1850 per month
18,Townhouse for Rent,"1321 Talbert Terrace SE, Washington, DC 20020",2,2.0,3000 per month
19,Townhouse for Rent,"1328 4th St SW, Washington, DC 20024",4,2.0,5000 per month
20,Townhouse for Rent,"606 Q St NW, Washington, DC 20001",3,3.5,4400 per month
21,Townhouse for Rent,"1213 Lamont St NW, Washington, DC 20010",4,3.5,6199 per month
22,Townhouse for Rent,"4933 11th St NE, Washington, DC 20017",3,2.0,2950 per month
23,Townhouse for Rent,"2129 1st St NW Unit 3, Washington, DC 20001",2,2.0,2500 per month
24,Townhouse for Rent,"643 Lamont St NW Unit 2, Washington, DC 20010",2,2.5,3800 per month
25,Townhouse for Rent,"2039 Huidekoper Place NW, Washington, DC 20007",3,3.0,5250 per month
26,Townhouse for Rent,"819 Kennedy St NE, Washington, DC 20011",4,2.0,4300 per month
27,Townhouse for Rent,"5449 B St SE, Washington, DC 20019",2,2.0,2200 per month
