,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode
1,House,"5929 Merritt Place, Falls Church, VA 22041",5,3.0,4150,Falls Church,VA,22041
3,Townhouse,Unlisted Address,3,3.5,2775,,,
4,House,"703 Morningside Ct, Herndon, VA 20170",5,2.0,3300,Herndon,VA,20170
5,Townhouse,"5455 New London Park Dr, Fairfax, VA 22032",3,4.0,2700,Fairfax,VA,22032
6,Townhouse,"14312 Beckett Glen Cir, Chantilly, VA 20151",3,5.0,4800,Chantilly,VA,20151
7,House,"12665 Magna Carta Rd, Herndon, VA 20171",3,2.0,2800,Herndon,VA,20171
8,House,"1710 Palm Springs Dr, Vienna, VA 22182",4,2.5,3750,Vienna,VA,22182
9,Townhouse,"2013 Approach Ln, Reston, VA 20191",3,2.5,2750,Reston,VA,20191
10,House,"7813 Mulberry Bottom Ln, Springfield, VA 22153",4,2.5,3800,Springfield,VA,22153
11,House,"5825 Biscayne Dr, Alexandria, VA 22303",4,2.0,3000,Alexandria,VA,22303
12,Townhouse,"5415 Helm Ct, Fairfax, VA 22032",4,3.5,3200,Fairfax,VA,22032
13,Townhouse,"2438 Ridgehampton Ct, Reston, VA 20191",2,3.0,2500,Reston,VA,20191
14,Townhouse,"3160 Yeager Dr, Herndon, VA 20171",5,4.5,3500,Herndon,VA,20171
15,House,"3015 Fairmont St, Falls Church, VA 22042",5,2.5,3750,Falls Church,VA,22042
16,Townhouse,"8046 Reserve Way, Vienna, VA 22182",3,2.5,4000,Vienna,VA,22182
17,Townhouse,"8043 Reserve Way, Vienna, VA 22182",4,3.5,4200,Vienna,VA,22182
18,House,"3506 Beverly Dr, Annandale, VA 22003",4,3.0,3800,Annandale,VA,22003
19,House,"855 Nicholas Run Dr, Great Falls, VA 22066",7,9.0,14000,Great Falls,VA,22066
20,House,"12305 Myterra Way, Herndon, VA 20171",4,3.0,3750,Herndon,VA,20171
21,House,"9521 Rockport Rd, Vienna, VA 22180",4,3.0,3750,Vienna,VA,22180
22,Townhouse,"3873 Billberry Dr, Fairfax, VA 22033",4,3.5,4500,Fairfax,VA,22033
23,House,"10610 Cavalcade St, Great Falls, VA 22066",3,2.5,3050,Great Falls,VA,22066
24,House,"862 Centrillion Dr, McLean, VA 22102",5,7.0,12000,McLean,VA,22102
25,Townhouse,"2816 Kelly Square, Vienna, VA 22181",3,3.5,3200,Vienna,VA,22181
26,House,"1720 Beulah Rd, Vienna, VA 22182",3,3.0,3700,Vienna,VA,22182
27,Townhouse,"9463 Canonbury Square, Fairfax, VA 22031",4,3.5,3750,Fairfax,VA,22031
28,House,"1105 Westbriar Ct NE, Vienna, VA 22180",3,2.5,3900,Vienna,VA,22180
29,Townhouse,"3690 Yorktown Village Pass, Annandale, VA 22003",3,4.0,3000,Annandale,VA,22003
30,House,"6464 Third St, Alexandria, VA 22312",3,3.5,2650,Alexandria,VA,22312
31,House,"14509 William Carr Ln, Centreville, VA 20120",3,2.5,3000,Centreville,VA,20120
32,Townhouse,"8067 Nicosh Circle Ln Unit 56, Falls Church, VA 22042",3,3.0,3400,Falls Church,VA,22042
33,House,"2047 Haycock Rd, Falls Church, VA 22043",8,7.0,6800,Falls Church,VA,22043
34,Townhouse,"6923 Mclean Park Manor Ct, McLean, VA 22101",4,2.5,4250,McLean,VA,22101
35,Townhouse,"2281 Emerald Heights Ct, Reston, VA 20191",3,2.5,2500,Reston,VA,20191
36,Townhouse,"9557 Hagel Cir Unit B, Lorton, VA 22079",2,Na,1750,Lorton,VA,22079
37,Townhouse,"11425 Abner Ave, Fairfax, VA 22030",3,4.0,3000,Fairfax,VA,22030
38,Townhouse,"2533 James Maury Dr, Herndon, VA 20171",3,4.0,2600,Herndon,VA,20171
39,House,"7907 Laural Valley Way, Springfield, VA 22153",4,3.5,3850,Springfield,VA,22153
40,Townhouse,"14634 Battery Ridge Ln, Centreville, VA 20120",3,3.5,2700,Centreville,VA,20120
41,Townhouse,"3858 Elmwood Towne Way, Alexandria, VA 22303",3,3.5,3595,Alexandria,VA,22303
42,House,"10418 Willow Crest Ct, Vienna, VA 22182",6,4.5,7900,Vienna,VA,22182
43,House,"1721 Pebble Beach Dr, Vienna, VA 22182",5,3.5,4500,Vienna,VA,22182
44,Townhouse,"3403 Wheatwheel Ln, Annandale, VA 22003",3,3.5,2900,Annandale,VA,22003
45,House,"3220 Wayne Rd, Falls Church, VA 22042",4,3.0,4750,Falls Church,VA,22042
46,Townhouse,"13327 Foxhole Dr, Fairfax, VA 22033",3,3.5,2750,Fairfax,VA,22033
47,House,"6514 Berkshire Dr, Alexandria, VA 22310",2,2.0,3000,Alexandria,VA,22310
48,House,"2123 Owls Cove Ln, Reston, VA 20191",3,2.0,3700,Reston,VA,20191
49,House,"7815 Bristow Dr, Annandale, VA 22003",4,2.0,3600,Annandale,VA,22003
50,Townhouse,"7448 Pohick Rd, Lorton, VA 22079",3,2.5,2650,Lorton,VA,22079
51,House,"5906 Oak Leather Dr, Burke, VA 22015",3,2.5,3145,Burke,VA,22015
52,House,"13079 Greg Roy Ln, Herndon, VA 20171",4,4.5,3700,Herndon,VA,20171
53,Townhouse,"3053 Meeting St, Falls Church, VA 22044",3,3.5,3500,Falls Church,VA,22044
54,Townhouse,"1413 Green Run Ln, Reston, VA 20190",3,2.0,2900,Reston,VA,20190
55,House,"2440 Carey Ln, Vienna, VA 22181",4,4.0,4850,Vienna,VA,22181
56,Townhouse,"2042 Headlands Cir, Reston, VA 20191",3,3.5,2900,Reston,VA,20191
