,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
0,Townhouse,"5455 New London Park Dr, Fairfax, VA 22032",3,4.0,2700,Fairfax,VA,22032,38.8203,-77.2902
1,Townhouse,"5415 Helm Ct, Fairfax, VA 22032",4,3.5,3200,Fairfax,VA,22032,38.8203,-77.2902
2,House,"5140 Pumphrey Dr, Fairfax, VA 22032",4,2.5,3500,Fairfax,VA,22032,38.8203,-77.2902
3,Townhouse,"5575 Glasgow Woods Ct, Fairfax, VA 22032",3,4.0,2650,Fairfax,VA,22032,38.8203,-77.2902
4,Townhouse,"5503 Akridge Ct, Fairfax, VA 22032",3,3.5,3000,Fairfax,VA,22032,38.8203,-77.2902
5,House,"9731 Loch Linden Ct, Fairfax, VA 22032",4,2.5,4000,Fairfax,VA,22032,38.8203,-77.2902
6,House,"5124 Richardson Dr, Fairfax, VA 22032",4,2.5,3200,Fairfax,VA,22032,38.8203,-77.2902
7,House,"4631 Tara Dr, Fairfax, VA 22032",4,3.0,3200,Fairfax,VA,22032,38.8203,-77.2902
8,House,"10208 Commonwealth Blvd, Fairfax, VA 22032",4,2.5,3200,Fairfax,VA,22032,38.8203,-77.2902
9,House,"10004 Dalroy Ct, Fairfax, VA 22032",4,3.0,3375,Fairfax,VA,22032,38.8203,-77.2902
10,Townhouse,"14312 Beckett Glen Cir, Chantilly, VA 20151",3,5.0,4800,Chantilly,VA,20151,38.8989,-77.4479
11,Townhouse,"4227 Moselle Dr, Chantilly, VA 20151",4,3.0,2550,Chantilly,VA,20151,38.8989,-77.4479
12,Townhouse,"5166 Ridgeview Retreat Dr, Chantilly, VA 20151",4,4.5,3700,Chantilly,VA,20151,38.8989,-77.4479
13,House,"12665 Magna Carta Rd, Herndon, VA 20171",3,2.0,2800,Herndon,VA,20171,38.9233,-77.3979
14,House,"12305 Myterra Way, Herndon, VA 20171",4,3.0,3750,Herndon,VA,20171,38.9233,-77.3979
15,Townhouse,"2533 James Maury Dr, Herndon, VA 20171",3,4.0,2600,Herndon,VA,20171,38.9233,-77.3979
16,House,"13079 Greg Roy Ln, Herndon, VA 20171",4,4.5,3700,Herndon,VA,20171,38.9233,-77.3979
17,Townhouse,"13126 Plotner Farm Rd, Herndon, VA 20171",3,3.5,3000,Herndon,VA,20171,38.9233,-77.3979
18,Townhouse,"13588 Big Boulder Rd, Herndon, VA 20171",4,3.5,3200,Herndon,VA,20171,38.9233,-77.3979
19,Townhouse,"2646 Jetstream Rd, Oak Hill, VA 20171",4,4.0,3290,Oak Hill,VA,20171,38.9233,-77.3979
20,Townhouse,"2640 Jetstream Rd, Herndon, VA 20171",3,3.0,3100,Herndon,VA,20171,38.9233,-77.3979
